Real Labels,Predicted Labels,Diff,MAPE
1.746,1.9285924,0.18259244346618653,0.8954224264225736
2.695,2.727055,0.03205507278442399,0.9881057243842583
1.816,1.8749486,0.058948620796203555,0.9675393057289629
2.354,1.9883714,-0.3656286277770997,0.844677728217035
3.901,3.971769,0.07076909446716328,0.9818587299494582
1.52,2.0174835,0.49748347282409666,0.6727082415630943
1.65,1.7543862,0.10438618659973153,0.9367356444850112
4.057,3.9888847,-0.06811531257629433,0.9832104233235656
1.672,1.7710905,0.09909050750732429,0.9407353423999256
2.59,2.412526,-0.17747410774230943,0.9314771784778728
2.702,2.8970926,0.19509258079528813,0.9277969723185462
2.387,1.7091211,-0.6778788919448853,0.7160121944093485
3.9189999999999996,3.624028,-0.29497203254699667,0.9247328317052828
3.7249999999999996,3.6029155,-0.12208447456359828,0.9672256444124568
2.291,2.158118,-0.13288199043273918,0.9419982582135578
1.745,1.7041948,-0.040805215835571396,0.9766159221572657
3.9609999999999994,3.9031267,-0.05787328338622988,0.9853892240883035
2.707,2.569758,-0.13724206161499009,0.9493010485352825
1.649,1.7994478,0.15044777488708494,0.9087642359690207
2.119,1.7626406,-0.356359404563904,0.831826614174656
1.65,1.7123702,0.06237015724182138,0.9621999047019264
3.9829999999999997,3.935707,-0.0472929077148434,0.9881263098883145
4.065,4.0658026,0.000802574157714453,0.9998025647828501
4.108,3.5494885,-0.5585114555358883,0.8640429757702317
4.048,3.9372525,-0.11074747848510746,0.9726414331805564
4.067,3.8320074,-0.23499259185791033,0.9422196725207991
3.055,2.7970848,-0.2579151916503908,0.9155760420129654
4.255,4.0042057,-0.25079429626464833,0.9410589197967925
4.287,3.405672,-0.8813279266357421,0.7944184915708556
2.032,1.9358836,-0.09611635875701907,0.9526986423439867
1.568,1.7142634,0.14626343917846674,0.9067197454218963
4.411,4.0305023,-0.3804976806640621,0.9137389071267146
2.698,1.8089485,-0.8890514831542968,0.6704775822259834
2.798,2.5073843,-0.29061569976806645,0.8961344890035502
4.597,3.851854,-0.7451459140777592,0.8379060443598523
1.666,1.7922511,0.12625111007690437,0.9242190215624824
2.606,2.6992817,0.09328169250488294,0.96420502973719
2.542,2.5565953,0.014595325469970888,0.9942583298701924
2.529,2.4102244,-0.11877556228637687,0.9530345740267391
2.728,2.6986609,-0.02933914947509786,0.9892451798111811
2.845,2.9533098,0.10830977439880352,0.9619297805276613
2.066,1.7476168,-0.31838323211669906,0.8458938857131175
2.641,2.781496,0.1404960479736328,0.9468019507862049
2.65,2.5519214,-0.09807863235473624,0.9629891953378353
2.123,2.7062821,0.5832821388244627,0.7252557047458961
2.649,2.6417198,-0.007280181884765646,0.9972517244678122
2.671,2.3786187,-0.2923812828063963,0.8905348997355311
1.935,1.7622821,-0.17271786689758306,0.9107401204663653
1.952,1.8088228,-0.1431772489547729,0.9266509995108745
1.666,1.7396529,0.07365287208557136,0.9557905929858516
1.595,1.7086997,0.11369970321655276,0.9287149196134465
1.643,1.9035866,0.26058662605285643,0.8413958453725767
2.183,2.4214215,0.238421527862549,0.8907826258073527
1.641,1.7068692,0.06586924457550047,0.9598603019040216
2.318,2.4722517,0.1542516536712646,0.9334548517380222
3.9049999999999994,3.517223,-0.3877771186828607,0.9006972807470267
3.137,2.4571295,-0.6798705215454102,0.7832736622424576
1.436,1.7317618,0.2957618131637574,0.7940377345656285
1.627,1.7068732,0.07987317848205566,0.950907696077409
2.688,2.3728113,-0.3151886825561525,0.8827423055966694
1.664,1.723574,0.05957404232025154,0.9641982918748488
3.933,3.6890588,-0.2439412193298338,0.9379757896440799
1.577,1.7479619,0.17096187877655034,0.8915904383154405
1.745,1.6872939,-0.05770611286163341,0.9669305943486342
3.561,3.1874647,-0.373535285949707,0.8951038230975268
4.108,3.0326126,-1.0753874378204342,0.7382211689823674
1.633,1.7039399,0.07093991470336913,0.9565585335558058
3.878,3.9677072,0.08970715713500965,0.9768676747975735
1.685,1.7624211,0.07742113113403315,0.9540527411667459
1.759,1.7281156,-0.03088444137573232,0.9824420458352858
1.539,1.7244345,0.18543449497222908,0.8795097498556016
2.508,2.9064403,0.39844025802612304,0.841132273514305
3.878,3.9035008,0.02550079536437977,0.9934242404939712
1.658,1.6669561,0.008956067085266195,0.9945982707567755
3.3359999999999994,3.2061286,-0.12987140274047793,0.9610697233991373
1.935,1.8636938,-0.0713061666488648,0.9631492678817236
1.414,1.7240175,0.31001750087738045,0.7807514138066616
4.069,4.022131,-0.04686903381347651,0.9884814367624781
2.949,2.8630104,-0.08598959350585922,0.9708411008796679
1.674,1.687234,0.013234044075012275,0.9920943583781289
1.589,1.7340556,0.1450556383132935,0.9087126253534968
2.641,2.0089202,-0.6320798072814942,0.7606664872088247
2.737,2.6531506,-0.08384944152832041,0.9693644714912969
2.602,2.322011,-0.27998900604248034,0.8923946940651497
3.452,3.3077762,-0.14422378730773922,0.9582202238390095
4.08,4.077011,-0.002988891601562571,0.9992674285290288
1.627,1.7299464,0.10294637489318847,0.9367262600533568
2.198,1.7693226,-0.4286773662567138,0.8049693511115952
2.203,1.7102029,-0.49279706764221176,0.7763063696585512
1.675,1.7582076,0.08320755958557124,0.9503238450235396
3.136,2.6480134,-0.4879866466522218,0.8443920131848782
1.587,1.7584454,0.17144538211822513,0.8919688833533553
2.066,1.729499,-0.33650101757049544,0.8371243864615221
2.725,2.8761659,0.15116586685180655,0.9445262873938325
2.386,2.7472491,0.36124912643432605,0.8485963426511626
2.339,2.4582486,0.11924861526489261,0.9490172658123589
4.497,4.6898217,0.19282172012329113,0.9571221436239068
2.723,2.3192544,-0.4037456016540526,0.8517276527161026
3.4399999999999995,3.532113,0.09211307525634815,0.9732229432394337
1.589,1.7214303,0.1324303016662598,0.916658085798452
2.681,2.6914039,0.010403865814208935,0.9961194084989896
2.365,1.8820559,-0.482944121360779,0.7957952975218694
1.621,1.6908765,0.06987648391723633,0.9568929772256407
2.712,2.5269537,-0.18504630279541034,0.9317675874648192
3.118,2.4435077,-0.6744923286437987,0.78367789331501
3.132,3.212839,0.08083888816833484,0.9741893715937628
1.649,1.7147021,0.06570212936401365,0.9601563800096946
4.048,3.9787517,-0.0692483406066895,0.9828931964904423
3.2799999999999994,3.5260162,0.24601623535156314,0.9249950501976941
1.643,1.7091328,0.0661327905654907,0.9597487580246556
3.8819999999999997,3.6764157,-0.20558431816101042,0.9470416491084466
2.453,1.9186933,-0.5343066959381102,0.782182349801015
4.041,3.6887782,-0.3522218379974369,0.9128379514977885
3.8969999999999994,4.044344,0.14734394836425846,0.9621904161241318
4.401,4.0550547,-0.3459453353881834,0.9213939251560592
2.987,2.7258897,-0.2611103172302247,0.9125844267726064
3.745,3.433748,-0.3112519931793214,0.9168886533566565
2.252,1.9982355,-0.25376453590393044,0.8873159254423044
2.649,2.492093,-0.15690691375732424,0.94076749197534
1.62,1.6913272,0.07132721424102773,0.955970855406773
1.777,1.7123119,-0.06468813610076896,0.9635969971295616
1.653,1.6797783,0.02677833747863767,0.9838001588151012
3.4219999999999997,3.533081,0.11108105468750029,0.9675391424057568
1.662,1.7753619,0.11336189556121834,0.9317918799270648
2.688,2.422709,-0.2652910118103029,0.9013054271539052
2.508,2.8934484,0.3854483528137207,0.8463124590056935
1.98,1.7357981,-0.24420187950134276,0.8766657174235643
2.301,2.396545,0.09554493331909164,0.9584767782185608
3.612,3.347008,-0.26499201011657725,0.9266356561139044
2.849,2.659392,-0.1896078815460207,0.9334475670249137
3.033,2.9582891,-0.07471085357666007,0.9753673413858688
2.558,2.4118252,-0.1461748199462889,0.9428558170655633
3.864,3.922643,0.058642946243286254,0.9848232540778245
1.976,1.7064825,-0.2695174703598022,0.8636045190486831
3.122,2.8989494,-0.22305061531066883,0.9285552161080497
1.621,1.8428847,0.22188465976715088,0.8631186552947866
2.32,2.7213452,0.40134518623352067,0.8270063852441721
4.26,4.3650317,0.10503171920776389,0.9753446668526375
4.597,4.610343,0.013342979431151925,0.9970974593362733
2.529,2.266059,-0.26294107818603507,0.8960296250747193
1.963,1.7328279,-0.23017209815979012,0.8827447283954202
2.021,1.7178766,-0.3031234464645385,0.8500131388102234
2.45,2.5130644,0.06306438446044904,0.9742594349141024
1.693,1.7034558,0.010455805778503358,0.9938240958189585
2.65,2.3664742,-0.2835258483886718,0.8930091138155956
1.628,1.7217264,0.09372641754150401,0.9424284904536216
3.5329999999999995,3.3598833,-0.17311669158935494,0.9510000872942669
4.473,4.414276,-0.058723876953124865,0.9868714784365918
1.664,1.7712345,0.10723451232910164,0.9355561824945302
1.656,1.7360387,0.08003868484497079,0.9516674608424089
3.038,2.8028066,-0.23519338417053204,0.9225828228536761
1.553,1.7191608,0.16616079521179206,0.8930065710162318
1.688,1.881818,0.19381805610656744,0.8851788767141188
3.7359999999999998,3.6717107,-0.06428927040100074,0.9827919511774623
2.529,2.5059378,-0.0230621852874755,0.990880907359638
2.61,2.5617933,-0.04820667266845691,0.9815300104718556
1.644,1.6924742,0.04847424602508554,0.9705144488898506
